depth_ppm,discovery_method,discovery_year,distance_ratio,duration_hours,eccentricity,equilibrium_temp_k,fp_flag_co,fp_flag_ec,fp_flag_nt,fp_flag_ss,impact_parameter,inclination_deg,insolation_flux,label,label_raw,longitude_periastron,mission,object_id,period_days,planet_mass_earth,planet_mass_jupiter,planet_radius_jupiter,planet_radius_rearth,radius_ratio,score,semi_major_axis_au,stellar_age_gyr,stellar_density,stellar_distance_pc,stellar_logg,stellar_luminosity,stellar_mass_msun,stellar_metallicity,stellar_radius_rsun,stellar_teff_k,transit_epoch,transit_ingress_hours,duty_cycle,transit_frequency,planet_radius_from_depth,mission_encoded,stellar_radius_solar,stellar_mass_solar,transit_depth_mag,habitable_zone_inner,habitable_zone_outer,in_habitable_zone,transit_snr,has_radius_measurement,has_mass_measurement,has_stellar_parameters
129.5,,,30.3,3.854,0.0,880.0,0.0,0.0,0.0,0.0,0.374,89.29,142.1,planet,CONFIRMED,,kepler,K00671.03,16.25951967,1.0,,,1.72,0.011379806676741043,0.992,0.1339,4.6,1.98469,100.0,4.169,1.0,1.213,0.18,1.499,5966.0,144.53203,,0.009876265510451784,0.06150243182429755,0.017058330208434825,0,1.499,1.213,0.00014061194333603465,,,False,11.379806676741042,True,False,True
1028.8,,,28.0,5.439,0.0,498.0,0.0,0.0,0.0,0.0,0.884,88.19,14.59,planet,CONFIRMED,,kepler,K02028.02,37.0551726,1.0,,,3.19,0.032074912314767126,1.0,0.2109,4.6,0.30132,100.0,4.542,1.0,0.91,-0.14,0.846,5642.0,200.20176,,0.006115880296830678,0.026986785645143643,0.02713537581829299,0,0.846,0.91,0.001117580389431615,,,False,32.07491231476713,True,False,True
286.4,,,53.6,4.662,0.0,401.0,0.0,0.0,0.0,0.0,0.533,89.43,6.09,planet,CONFIRMED,,kepler,K02173.01,37.8154157,1.0,,,1.21,0.016923356641044943,0.999,0.2016,4.6,2.0362,100.0,4.624,1.0,0.79,0.0,0.705,4856.0,141.10346,,0.005136793987431955,0.0264442418915416,0.011930966431936684,0,0.705,0.79,0.0003109993862809792,,,False,16.923356641044943,True,False,True
974.9,,,40.33,5.879,0.0,634.0,0.0,0.0,0.0,0.0,0.011,89.98,38.2,planet,CONFIRMED,,kepler,K01486.02,30.1837021,1.0,,,3.65,0.03122338866939333,1.0,0.1882,4.6,1.36237,100.0,4.281,1.0,0.974,0.06,1.183,5733.0,146.64675,,0.00811558279106304,0.03313046215096325,0.03693726879589231,0,1.183,0.974,0.0010590005197384479,,,False,31.223388669393334,True,False,True
168.1,,,21.6,4.894,0.0,744.0,0.0,0.0,0.0,0.0,0.732,88.06,72.32,planet,CONFIRMED,,kepler,K01608.02,19.7383992,1.0,,,1.61,0.012965338406690355,0.998,0.1417,4.6,0.48868,100.0,4.3,1.0,0.974,-0.1,1.156,5903.0,133.28544,,0.010330962739200587,0.05066266974679487,0.014987931198134049,0,1.156,0.974,0.0001825275978943016,,,False,12.965338406690355,True,False,True
159.0,,,34.5,3.398,0.0,755.0,0.0,0.0,0.0,0.0,0.489,89.19,76.86,planet,CONFIRMED,,kepler,K02711.02,17.3408735,1.0,,,1.43,0.012609520212918491,0.992,0.1313,4.6,2.59392,100.0,4.348,1.0,1.004,0.0,1.111,5885.0,138.96694,,0.008164717500149767,0.05766722189629028,0.014009176956552443,0,1.111,1.004,0.00017264578226000465,,,False,12.609520212918492,True,False,True
236.6,,,22.29,3.215,0.0,734.0,0.0,0.0,0.0,0.0,0.718,88.16,68.66,planet,CONFIRMED,,kepler,K00993.02,13.0607936,1.0,,,1.45,0.015381807436059002,1.0,0.1075,4.6,1.22851,100.0,4.54,1.0,0.97,-0.14,0.876,5830.0,137.63148,,0.01025652325853563,0.07656502588020378,0.013474463313987686,0,0.876,0.97,0.0002569155803576072,,,False,15.381807436059002,True,False,True
879.3,,,13.9,1.8141,0.0,1017.0,0.0,0.0,0.0,0.0,0.731,86.99,253.48,planet,CONFIRMED,,kepler,K01832.01,4.544436472,1.0,,,3.0,0.02965299310356376,1.0,0.0522,4.6,2.46043,100.0,4.458,1.0,0.919,0.16,0.937,5445.0,134.90159,,0.016632975389957217,0.2200492857940429,0.027784854538039246,0,0.937,0.919,0.0009551078195620664,,,False,29.65299310356376,True,False,True
239.6,,,13.35,2.2245,0.0,771.0,0.0,0.0,0.0,0.0,0.917,86.06,83.63,planet,CONFIRMED,,kepler,K02120.01,8.77425786,1.0,,,1.75,0.015479018056711478,1.0,0.0784,4.6,0.58484,100.0,4.445,1.0,0.832,0.2,0.905,5146.0,132.33386,,0.010563571469963612,0.11396975287890615,0.014008511341323889,0,0.905,0.832,0.00026017356469792865,,,False,15.479018056711478,True,False,True
1110.0,,,34.5,1.5871,0.0,387.0,0.0,0.0,0.0,0.0,0.901,88.5,5.29,planet,CONFIRMED,,kepler,K01867.02,13.96950181,1.0,,,2.04,0.033316662497915366,1.0,0.0909,4.6,3.98511,100.0,4.74,1.0,0.513,0.04,0.506,3716.0,132.17062,,0.004733824267042108,0.07158451415097386,0.016858231223945176,0,0.506,0.513,0.0012058365504451114,,,False,33.31666249791536,True,False,True
