object_id,period_days,duration_hours,depth_ppm,planet_radius_rearth,planet_mass_earth,score,label_raw,stellar_teff_k,stellar_radius_rsun,stellar_logg,stellar_mass_msun,stellar_metallicity,impact_parameter,semi_major_axis_au,inclination_deg,equilibrium_temp_k,insolation_flux,distance_ratio,stellar_density,transit_epoch,eccentricity,longitude_periastron,transit_ingress_hours,radius_ratio,stellar_luminosity,stellar_age_gyr,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,mission,label,stellar_distance_pc,planet_radius_jupiter,planet_mass_jupiter,discovery_year,discovery_method,duty_cycle,transit_frequency,planet_radius_from_depth,mission_encoded,stellar_radius_solar,stellar_mass_solar,transit_depth_mag,habitable_zone_inner,habitable_zone_outer,in_habitable_zone,transit_snr,has_radius_measurement,has_mass_measurement,has_stellar_parameters,multi_planet_system,binary_label
K00752.01,9.48803557,2.9575,615.8,2.26,1.0,1.0,CONFIRMED,5455.0,0.927,4.467,0.919,0.14,0.146,0.0853,89.66,793.0,93.59,24.81,3.20796,170.53875,0.0,0.0,0.0,0.024815317850069945,1.0,4.6,0.0,0.0,0.0,0.0,kepler,planet,100.0,0.0,0.0,0.0,0,0.012987848301950104,0.10539589492706762,0.02300379964701484,0,0.927,0.919,0.0006688023002595659,0.0,0.0,False,24.815317850069945,True,False,True,False,exoplanet
K00752.02,54.4183827,4.507,874.8,2.83,1.0,0.969,CONFIRMED,5455.0,0.927,4.467,0.919,0.14,0.586,0.2734,89.57,443.0,9.11,77.9,3.02368,162.51384,0.0,0.0,0.0,0.029577018105278973,1.0,4.6,0.0,0.0,0.0,0.0,kepler,planet,100.0,0.0,0.0,0.0,0,0.003450886581873126,0.018376143324818066,0.027417895783593608,0,0.927,0.919,0.0009502177177767955,0.0,0.0,False,29.57701810527897,True,False,True,False,exoplanet
K00753.01,19.89913995,1.7822,10829.0,14.6,1.0,0.0,CANDIDATE,5853.0,0.868,4.544,0.961,-0.18,0.969,0.1419,88.96,638.0,39.3,53.5,7.29555,175.850252,0.0,0.0,0.0,0.10406248123122953,1.0,4.6,0.0,0.0,0.0,0.0,kepler,candidate,100.0,0.0,0.0,0.0,0,0.0037317358197349296,0.05025342816386394,0.09032623370870724,0,0.868,0.961,0.011821561358617541,0.0,0.0,False,104.06248123122954,True,False,True,False,exoplanet
K00755.01,2.525591777,1.6545,603.3,2.75,1.0,1.0,CONFIRMED,6031.0,1.046,4.438,1.095,0.07,0.701,0.0374,85.41,1406.0,926.16,8.75,1.98635,171.59555,0.0,0.0,0.0,0.024562166028263874,1.0,4.6,0.0,0.0,0.0,0.0,kepler,planet,100.0,0.0,0.0,0.0,0,0.027295583010603065,0.3959468070441061,0.025692025665564014,0,1.046,1.095,0.0006552223200228702,0.0,0.0,False,24.562166028263874,True,False,True,False,exoplanet
K00756.01,11.09432054,4.5945,1517.5,3.9,1.0,1.0,CONFIRMED,6046.0,0.972,4.486,1.053,-0.08,0.538,0.0992,88.11,835.0,114.81,16.36,0.67324,171.20116,0.0,0.0,0.0,0.03895510236156491,1.0,4.6,0.0,0.0,0.0,0.0,kepler,planet,100.0,0.0,0.0,0.0,0,0.017255450598329294,0.09013620945911484,0.03786435949544109,0,0.972,1.053,0.0016488560769254256,0.0,0.0,False,38.955102361564904,True,False,True,False,exoplanet
K00756.02,4.13443512,3.1402,686.0,2.77,1.0,1.0,CONFIRMED,6046.0,0.972,4.486,1.053,-0.08,0.762,0.0514,83.72,1160.0,427.65,6.96,0.37377,172.97937,0.0,0.0,0.0,0.026191601707417588,1.0,4.6,0.0,0.0,0.0,0.0,kepler,planet,100.0,0.0,0.0,0.0,0,0.031646806122009395,0.24187101042233794,0.025458236859609896,0,0.972,1.053,0.0007450706249173492,0.0,0.0,False,26.19160170741759,True,False,True,False,exoplanet
K00756.03,2.56658897,2.429,226.5,1.59,1.0,0.992,CONFIRMED,6046.0,0.972,4.486,1.053,-0.08,0.755,0.0374,82.17,1360.0,807.74,5.54,0.48909,179.55437,0.0,0.0,0.0,0.015049916943292411,1.0,4.6,0.0,0.0,0.0,0.0,kepler,planet,100.0,0.0,0.0,0.0,0,0.03943301187542052,0.3896221840305033,0.014628519268880223,0,0.972,1.053,0.0002459471049389597,0.0,0.0,False,15.049916943292413,True,False,True,False,exoplanet
K00757.01,16.06864674,3.5347,4914.3,5.76,1.0,1.0,CONFIRMED,5031.0,0.848,4.485,0.801,0.16,0.052,0.1158,89.92,600.0,30.75,36.85,3.6659,173.621937,0.0,0.0,0.0,0.07010206844309232,1.0,4.6,0.0,0.0,0.0,0.0,kepler,planet,100.0,0.0,0.0,0.0,0,0.009165623530701047,0.062232994239065594,0.059446554039742285,0,0.848,0.801,0.005348786994125727,0.0,0.0,False,70.10206844309232,True,False,True,False,exoplanet
K00001.01,2.470613377,1.74319,14231.0,13.04,1.0,0.811,CONFIRMED,5820.0,0.964,4.457,0.971,-0.06,0.818,0.0354,84.41,1339.0,761.46,8.3977,1.83538,122.763305,0.0,0.0,0.0,0.11929375507544392,1.0,4.6,0.0,0.0,0.0,0.0,kepler,planet,100.0,0.0,0.0,0.0,0,0.02939873852494998,0.40475778578284616,0.11499917989272793,0,0.964,0.971,0.01556210863803031,0.0,0.0,False,119.29375507544391,True,False,True,False,exoplanet
K00002.01,2.204735417,3.88864,6674.7,16.1,1.0,1.0,CONFIRMED,6440.0,1.952,4.019,1.449,0.14,0.224,0.0376,87.21,2048.0,4148.92,4.602,0.37936,121.3585417,0.0,0.0,0.0,0.08169883720102752,1.0,4.6,0.0,1.0,0.0,0.0,kepler,planet,100.0,0.0,0.0,0.0,0,0.0734902997508597,0.4535691640318036,0.15947613021640572,0,1.952,1.449,0.0072712572623239834,0.0,0.0,False,81.69883720102753,True,False,True,False,exoplanet
